Separation S1-S2,Separation S2-S3,X-corr,tick
76.0,46.0,0.9962982089999344,1.0
77.0,46.0,0.9963163754145811,1.0
78.0,46.0,0.9963192931118768,1.0
79.0,46.0,0.9963112030411567,1.0
80.0,46.0,0.9962963461517556,1.0
81.0,46.0,0.9962779512005648,1.0
82.0,46.0,0.9962551981747062,1.0
83.0,46.0,0.9962262548688571,1.0
84.0,46.0,0.9961892890776956,1.0
85.0,46.0,0.9961424685959006,1.0
86.0,46.0,0.9960846543085,1.0
87.0,46.0,0.9960174794619224,1.0
88.0,46.0,0.9959432703929451,1.0
89.0,46.0,0.9958643534383468,1.0
90.0,46.0,0.9957830549349059,1.0
91.0,46.0,0.9957009316108619,1.0
92.0,46.0,0.9956164617602994,1.0
93.0,46.0,0.9955273540687642,1.0
94.0,46.0,0.9954313172218027,1.0
95.0,46.0,0.9953260599049609,1.0
96.0,46.0,0.9952101308730492,1.0
97.0,46.0,0.9950854391579335,1.0
98.0,46.0,0.9949547338607444,2.0
99.0,46.0,0.9948207640826116,2.0
100.0,46.0,0.9946862789246661,2.0
101.0,46.0,0.99455347221347,2.0
102.0,46.0,0.9944223166773122,2.0
103.0,46.0,0.9942922297699127,2.0
104.0,46.0,0.9941626289449927,2.0
105.0,46.0,0.9940329316562725,2.0
106.0,46.0,0.9939026473635912,2.0
107.0,46.0,0.9937716535512598,2.0
108.0,46.0,0.9936399197097081,2.0
109.0,46.0,0.9935074153293653,2.0
110.0,46.0,0.9933741099006617,2.0
111.0,46.0,0.9932400004725901,2.0
112.0,46.0,0.9931051943283964,2.0
113.0,46.0,0.9929698263098917,2.0
114.0,46.0,0.9928340312588857,2.0
115.0,46.0,0.9926979440171884,2.0
116.0,46.0,0.9925616994266101,2.0
117.0,46.0,0.9924254323289612,2.0
118.0,46.0,0.9922892775660511,2.0
119.0,46.0,0.9921533699796905,2.0
120.0,46.0,0.9920178444116897,2.0
40.0,47.0,0.9839216826674078,2.0
41.0,47.0,0.9844706309738366,2.0
42.0,47.0,0.9850231096606684,2.0
43.0,47.0,0.9855773510681054,2.0
44.0,47.0,0.9861315875363517,2.0
45.0,47.0,0.9866840514056094,2.0
